id,data,varia_dia,varia_1_dia_antes,varia_1_dia_depois,varia_2_dias_antes,varia_2_dias_depois,sentimento_PRE,sentimento_POS
1,2025-01-13,-0.008882542433745755,0.1776466342573393,0.05329355685613635,0.07105864364898551,-0.03552932109413476,-10,2
2,2025-04-10,0.08138641792261936,-0.14468657670274787,0.009043126377877186,0.018085389098139615,0.009043127463426615,10,2
3,2025-05-08,-0.08659653535067058,0.009621123170706625,0.14432694675337387,0.057730412865245384,0.12508378706886525,-10,2
4,2025-05-23,-0.2886548101835693,0.16357102828996162,-0.02886520412566007,0.06735245467667994,-0.10583970651199515,10,-1
5,2025-06-10,0.1347049024484015,0.028866122529965565,-0.028865206912303876,-0.07697449296979464,-0.14432695518309302,10,-1
6,2025-02-27,0.0,0.14211730696682423,0.06217610881053304,-0.1421181481259346,0.0977062802806401,10,2
7,2025-06-02,0.18281509789654038,0.15394898328038487,-0.048109287610751394,-0.07697449049730665,0.17319307310762433,10,-1
8,2025-10-24,0.14999961853027344,0.0,-0.09999942779541016,0.06000041961669922,-0.17999935150146662,-10,-1
9,2025-11-19,0.35000038146972656,0.01999950408935547,0.18999958038330078,-0.26999950408935547,-0.17999935150146484,-10,-7
10,2025-09-12,0.029437514296128953,0.05887596753369628,-0.06868878519811616,-0.03925033145984713,-0.029437514985316326,-10,-3
11,2025-09-04,-0.19625166617830914,0.019625634090962407,0.009811880664267747,0.10793817529161132,0.058875029451908034,10,2
12,2025-11-14,0.2800006866455078,0.1400003433227539,-0.26999950408935547,0.11999988555908203,0.01999950408935547,-10,-1
13,2025-11-13,0.1400003433227539,0.11999988555908203,0.2800006866455078,-0.31000041961669744,-0.26999950408935547,-10,2
14,2025-10-30,-0.1400003433227539,-0.029999732971191406,-0.06999969482421875,-0.17999935150146662,-0.060000419616700995,-10,-1
15,2025-05-29,-0.07697449049730665,0.153948994615293,0.15394898328038487,-0.10583970651199515,0.18281509789654038,10,2
